School,City,Role / job title,Status,Pay / band,Z-sponsor (Yes/No/ask),Mandarin required,Cert required first,Applied date,Last email date,Last email subject,Contact / apply URL,Email watch keywords,Notes,Application ID
Guangdong Polytechnic of Science and Technology (科学技术职业学院),Zhuhai/Guangzhou,Chinese talent hire,Skipped — primary hire mailbox gkgongzhao@vip.163.com tied to Zhuhai campus; no clear GZ FT post,n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://www.gdit.edu.cn/,gdit.edu.cn; gkgongzhao@vip.163.com; 科学技术职业学院,Overnight 2026-09-21 ~4:15am CDT: avoid non-Guangzhou-primary campus / Chinese talent only.,gdit-zhuhai-campus-skip-2026-09-21
Private Hualian College (私立华联学院),Guangzhou,Mechanical/Chinese faculty only (Sep 2026 posting),Skipped — current Sep 2026招聘 is机电工程系 Chinese teachers only (hlursc@163.com); no ESL/外教 post,n/a,ask,Yes,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,https://www.hlu.edu.cn/edu/jobs/5.html,hlu.edu.cn; hlursc@163.com; 华联学院,Overnight 2026-09-21 ~4:15am CDT: pinwaiyi-registered but live post is mechanical Chinese hire — skip until ESL opening.,hualian-mech-only-skip-2026-09-21
Best Learning / 贝乐学科英语 (Guangzhou),Guangzhou,Foreign English Teacher,Skipped — no verified public GZ HR email (LinkedIn contacts only),ask,ask,No,No,2026-09-21 04:16 CT,2026-09-21 04:16 CT,,,Best Learning; 贝乐; bestlearning,Overnight 2026-09-21 ~4:15am CDT: no direct HR email found for GZ centers.,best-learning-no-email-skip-2026-09-21
RISE English (瑞思英语) — Guangzhou,Guangzhou,English Teacher (children / subject English) — language center,Submitted — awaiting recruiter reply,ask / language-center band,Yes,No,No,2026-09-21 02:31 CT,2026-09-21 02:31 CT,Application — English Teacher Guangzhou — Michael Palmero (US),https://www.risecenter.com/join.html,rdchina.net; hrhelp@rdchina.net; RISE; 瑞思,Overnight 2026-09-21 ~2:30am CDT: apply to RISE English teacher hiring (hrhelp@rdchina.net) Gmail id 1a0c2dfdda1f973b; resume DOCX attached via draft+upload. Careers page lists English Teacher with Guangzhou among work cities; bachelor OK; no hard TEFL wall before apply. Language center first preference.,rise-english-gz-2026-09-21
Guangdong Food and Drug Vocational College (GFDVC / 广东食品药品职业学院),Guangzhou (Tianhe Longdong),Foreign English Teacher (oral / college English / EAP) — inquiry,Submitted — awaiting recruiter reply,ask / vocational college band,Yes,No,No,2026-09-21 02:31 CT,2026-09-21 02:31 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://eng.gdyzy.edu.cn/,gdyzy.edu.cn; GDFDVC@126.com; GFDVC; 食品药品,"Overnight 2026-09-21 ~2:30am CDT: cold inquire to International Exchange Center (GDFDVC@126.com) Gmail id 1a0c2dfe1a4d00cf; resume DOCX attached. Public international contact for GFDVC; bachelor-level inquiry, CELTA-in-progress disclosed. Direct college.",gfdvc-intl-2026-09-21
Guangzhou Railway Polytechnic (广州铁路职业技术学院),Guangzhou,Foreign English Teacher (oral / college English) — inquiry,Submitted — awaiting recruiter reply,ask / vocational college band,Yes,No,No,2026-09-21 02:31 CT,2026-09-21 02:31 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://www.gtxy.edu.cn/,gtxy.edu.cn; lianglekun@gtxy.edu.cn; Railway Polytechnic; 铁路职业技术,Overnight 2026-09-21 ~2:30am CDT: cold inquire to lianglekun@gtxy.edu.cn (overseas talent / international contact) Gmail id 1a0c2dfdf8048192; resume DOCX attached. Prior run lacked a clean FAO mailbox; this contact is published for overseas talent projects. Bachelor-level inquiry. Direct college.,gtxy-railway-2026-09-21
Guangzhou City Construction College (GZCCC / 广州城建职业学院),Guangzhou (Conghua campus),Foreign English Teacher (oral / college English / EAP) — inquiry,Submitted — awaiting recruiter reply,ask / vocational college band,Yes,No,No,2026-09-21 00:11 CT,2026-09-21 00:11 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://english.gzccc.edu.cn/Newscenter/Contact_Us.htm,gzccc.edu.cn; iec@gzccc.edu.cn; GZCCC; 广州城建职业学院,"Overnight 2026-09-21 ~12:10am CDT: cold apply to Foreign Affairs Office / International Exchanges Center (iec@gzccc.edu.cn) Gmail id 1a0c25f8b1b6ca37; resume DOCX attached. FAO page lists foreign-teacher hiring among duties. Bachelor-level inquiry, CELTA-in-progress disclosed. Direct college.",gzccc-iec-2026-09-21
Guangdong Water Conservancy and Electric Power Vocational Technical College (GDSDXY / 广东水利电力职业技术学院),Guangzhou (Tianhe + Conghua campuses),Foreign English Teacher (oral / college English / EAP) — inquiry,Received — GDSDXY HR auto-reply (mail received; next steps via school website announcements),ask / vocational college band,Yes,No,No,2026-09-21 00:11 CT,2026-09-21 00:10 CT,公招 Auto Reply  Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://www.gdsdxy.cn/,gdsdxy.cn; zhaopin@gdsdxy.cn; GDSDXY; 广东水利电力职业技术学院; 水院,"Overnight 2026-09-21 ~12:10am CDT: cold apply to college recruitment mailbox (zhaopin@gdsdxy.cn) Gmail id 1a0c25f8d0224de5; resume DOCX attached. Guangzhou campuses (Tianhe + Conghua). Bachelor-level inquiry, CELTA-in-progress disclosed. Direct college. Auto-ack 2026-09-21T05:10:42Z from zhaopin@gdsdxy.cn (thread 1a0c25facc38fcc1): 邮件已收悉; 资格审查/考试通知以学校官网公告为准.",gdsdxy-zhaopin-2026-09-21
Berlitz (China) — Guangzhou instructor inquiry,Guangzhou,English Instructor (language center),Submitted — awaiting recruiter reply,ask / language-center band,Yes,No,No,2026-09-21 00:11 CT,2026-09-21 00:11 CT,Application — English Instructor Guangzhou — Michael Palmero (US),https://www.berlitz.com/en-cn/careers,berlitz.com; info@em.berlitz.com; Berlitz,Overnight 2026-09-21 ~12:10am CDT: apply inquiry to Berlitz China recruiting (info@em.berlitz.com) Gmail id 1a0c25f8e4e59aea; resume DOCX attached. Careers page lists TEFL/CELTA (sponsorship may be available) + bachelor + native passport. Guangzhou-only preference stated. Language center.,berlitz-gz-2026-09-21
TMEGA Academy (Lion King International Education Group),Guangzhou (Tianhe),English / Montessori kindergarten teacher,Skipped — pinwaiyi agent-bounty listing (login wall) + education-major preference; no direct school HR email found,8–15k CNY/month,Yes,No,No,2026-09-20 22:20 CT,,,https://www.pinwaiyi.com/i/?pid=TA10266,TMEGA; Lion King; tmega,Overnight 2026-09-20: US nationality + age OK but education-related major preferred and apply path is agent platform. Skipped grey/indirect.,tmega-agent-board-2026-09-21
Southern Medical University (School of Foreign Studies),Guangzhou,International English Teacher,Skipped — stale Sep 2020 start listing + TEFL/CELTA + 2yrs preferred; Chinese text also prefers Master's,stale 2020 listing 11.8k,ask,No,Yes,2026-09-20 22:20 CT,,,https://portal.smu.edu.cn/renshi/info/1121/4685.htm,smu.edu.cn; 857150668@qq.com; 南方医科大学,Overnight 2026-09-20: only public foreign-teacher page is 2020. Skipped as stale.,smu-stale-2026-09-21
Utahloy International School Guangzhou (UISG),Guangzhou,MYP English Language Acquisition,Blocked/Skipped — hard QTS/PGCE/national teaching-cert + 3yrs experience wall,international school band,Yes,No,Yes,2026-09-20 22:20 CT,,,https://utahloy.cn/gz/about/work-at-uisg/,uisgz.org; utahloy; UISG,Overnight 2026-09-20: MYP EAL roles require teaching license/QTS/PGCE + experience. Skipped vs CELTA-in-progress path.,uisg-qts-2026-09-21
South China Business College (GDUFS / GWNG) — University English Teaching Dept,Guangzhou,专任教师 (University English Teaching Department),Blocked/Skipped — PhD degree wall (大学英语教学部 requires 博士研究生学历 + English-related major),PhD package 23–100万/year band,Yes,No,No,2026-09-20 22:20 CT,,,https://www.gwng.edu.cn/rsc/2026/0520/c992a107849/page.htm,gwng.edu.cn; ngrsc2024@163.com; 南国商学院,Overnight 2026-09-20: reviewed official 2026 University English Teaching Department recruitment; PhD-only. Global talent posts also PhD. Skipped.,gwng-phd-wall-2026-09-21
Guangzhou Institute of Science and Technology (GZIST),Guangzhou,Foreign English Teacher (oral / college English / EAP) — inquiry,Submitted — awaiting recruiter reply,ask / university band,Yes,No,No,2026-09-20 22:20 CT,2026-09-20 22:20 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://www.gzist.edu.cn/English/Contact_Us.htm,gzist.edu.cn; io@gzist.edu.cn; GZIST; 广州理工学院,Overnight ~10:20pm CDT 2026-09-20: cold apply to International Office io@gzist.edu.cn (official Contact Us); Gmail id 1a0c1f9f3776f302; resume DOCX attached. Bachelor-level inquiry; CELTA-in-progress disclosed. Direct university.,gzist-io-2026-09-21
Guangdong Polytechnic Normal University (GPNU),Guangzhou,Foreign English Teacher (oral / college English / EAP) — inquiry,Received — GPNU OIEC auto-reply (delivery ack; redirects study inquiries to gpnuad@163.com),ask / university band,Yes,No,No,2026-09-20 22:20 CT,2026-09-20 22:19 CT,国际交流与合作处 Auto Reply  Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://en.gpnu.edu.cn/Contact_us.htm,gpnu.edu.cn; oiec@gpnu.edu.cn; gpnuad@163.com; GPNU; 广东技术师范大学,"Overnight ~10:20pm CDT 2026-09-20: cold apply to Office of International Cooperation (oiec@gpnu.edu.cn) Gmail id 1a0c1f9f0a602e1c + School of International Education (gpnuad@163.com) Gmail id 1a0c1fa07ee6f5f0; resume DOCX attached. No live foreign-teacher posting found this run; bachelor-level inquiry, CELTA-in-progress disclosed. Direct university. Auto-ack 2026-09-21T03:19:42Z from oiec@gpnu.edu.cn (thread 1a0c1fa11231bacb): ""Dear, study at GPNU, mail to gpnuad@163.com"" (already also emailed gpnuad@163.com).",gpnu-oiec-2026-09-21
Guangzhou University of Chinese Medicine (GZUCUM),Guangzhou,Native English Teacher (undergrad / graduate English),"Skipped — stale 2016–2017 foreign-teacher listing; current School of Foreign Studies posts are Chinese PhD teaching posts, not foreign Z ESL",stale 2016 listing 8–9.5k,ask,No,No,2026-09-16 22:10 CT,,,https://www.gzucm.edu.cn/info/1461/72771.htm,gzucm.edu.cn; shenminwang,Overnight 2026-09-16: only live foreign-teacher page is 2016; 2019+ posts are domestic PhD English majors. Skipped.,gzucm-net-stale-2026-09-17
First Leap (TAL) — Breezy careers,Guangzhou (brand present historically; current careers online-only),Online English Teacher (remote),Skipped — current public careers only Online English Teacher (Orlando remote); no verified Guangzhou in-person Z-visa opening this run,ask,No,No,No,2026-09-16 22:10 CT,,,https://first-leap.breezy.hr/,firstleap; First Leap; TAL,Overnight 2026-09-16: breezy.hr shows only Online English Teacher remote. Not a Guangzhou Z-visa apply target.,firstleap-breezy-2026-09-17
Guangzhou University (School of Foreign Studies),Guangzhou,English Teacher (reading / writing / speaking),Blocked/Skipped — hard teaching-certification wall (recognized English teaching cert + minimum 2 years teaching experience required before apply),competitive + free campus housing (listing),Yes,No,Yes,2026-09-16 22:10 CT,,,https://english.gzhu.edu.cn/index/Join_Us.htm,gzhu.edu.cn; irisbing,Overnight 2026-09-16: Join Us page requires native speaker + recognized English teaching certification + bachelor's + age ≤55 + ≥2 years teaching experience. Contact irisbing@gzhu.edu.cn. Hard cert wall vs CELTA-in-progress path — skipped. Direct university.,gzhu-english-2026-09-17
Guangzhou Maritime University (广州航海学院 / 广州交通大学筹),Guangzhou,Foreign English Teacher (oral English / Business English),Submitted — awaiting recruiter reply,~200k CNY/year package (base + class fee + housing allowance) per July 2025 listing,Yes,No,No,2026-09-16 22:10 CT,2026-09-16 22:10 CT,Application — Foreign English Teacher (Guangzhou) — Michael Palmero (US),https://pinwaiyi.com/articles/n/p7694.html,gzmtu.edu.cn; Maritime; 航海; International_Office,Overnight ~10:03pm CDT 2026-09-16: Gmail apply to International_Office@gzmtu.edu.cn (Global Affairs Office listing Jul 2025 via pinwaiyi). BA + 1yr teaching path; TEFL preferred not hard wall. CELTA-in-progress + Remote Pilot Instructor disclosed. Guangzhou-only; prefer cash housing stipend. Gmail ids: 1a0ad56a4295e07b (DOCX) + follow-up TXT 1a0ad57767882205 same thread. Direct university employer.,gzmtu-maritime-2026-09-17
English 1,Guangzhou,Entry-level ESL teacher,Interview canceled by Nathan — rebook needed (reschedule request sent),ask / typical language-center band,Yes,No,No,2026-09-14 02:02 CT,2026-09-15 21:46 CT,Canceled: Michael Palmero | English 1 Interview,https://www.english1.com/tefl-jobs/apply-now/,english1.com; ef.com; English 1,Calendly cancel 2026-09-16: original Sat Sep 19 11:30pm CDT canceled. Nathan emailed “Schedule a new time with me.” Original slot does NOT stand.,english1-gz-2026-09-14
Shijiazhuang Yingli (eChinacities training center),Guangzhou,Training Center ESL / Literature Teacher,Skipped — listing expired,negotiable / ~20–25k band,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355113647,echinacities.com,No experience OK; work visa stated. Queued while Michael sleeps.,echina-training-1355113647
Elevate-7,Guangzhou,English ESL Teacher,Received — Workable confirmation email,¥17–21k + housing allowance ¥2–2.5k,Yes,No,Yes,2026-09-14 02:15 CT,2026-09-14 02:11 CT,Thanks for applying to Elevate,https://apply.workable.com/j/73388F66D4,elevate-7; workable.com,"Housing allowance fits Coco housing. Cert required on posting; try CELTA-in-progress, skip if blocked.",elevate7-workable-73388F66D4
New Peak Recruitment (GZ ESL listing),Guangzhou,ESL Teacher,Skipped — listing expired,¥20–23k package,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355115039,echinacities.com; newpeak,Expired before apply.,echina-1355115039
AiRuiKe International Institute of Education,Guangzhou,Homeroom Teacher in Guangzhou,Submitted — awaiting recruiter reply,ask,Yes,No,No,2026-09-14 02:46 CT,,,https://jobs.echinacities.com/jobchapter/1355121035,echinacities.com; airuike,Submitted on eChinacities. Confirmation: You’ve successfully applied for this job! DOCX rejected so PDF resume used.,airuike-1355121035
Goldstar (Guangzhou),Guangzhou,ESL / teaching (Z path),Recruiter reply — need 120hr TEFL before they will consider / sponsor (Jim Althans / Gold Star),ask,Yes,No,No,2026-09-14 02:41 CT,2026-09-14 09:39 CT,Re: Job Board - Michael Palmero - Kindergarten Teaching Positions in Shenzhen & Guangzhou - 14/09/2026,https://goldstarteachers.com/job/kindergarten-teaching-positions-guangzhou/,goldstar; echinacities.com; goldstarteachers.com; jim.althans@goldstarteachers.com; jim@goldstarteachers.com,"Submitted overnight 2026-09-14 via Gold Star job board (Kindergarten Shenzhen & Guangzhou, listing 21378). Jim Althans (Director of Recruitment) replied 2026-09-14 ~9:39am CDT: schools require 120-hour TEFL for Work Permit; recommended INTESOL 120hr online (goldstarteachers.com/intesol-online-tesol-courses-main/). Michael replied he will look over the info. CELTA still in progress — this is a soft block, not a hard rejection. Prefer cash housing stipend.",goldstar-gz-2026-09-14
Houhai English,Guangzhou,ESL Teacher (young learners 6–16; GZ preferred),Submitted — awaiting recruiter reply,¥18k base / 60 hrs + ¥150 overtime (Teach Away band ~$2.6–4.4k),Yes,No,Yes,2026-09-14 04:35 CT,,,https://www.teachaway.com/teaching-jobs-abroad/teach-english-with-houhai-english-in-chinas-major-cities,houhaienglish.com; houhai; recruitment@houhaienglish.com; teachaway.com,Submitted 2026-09-14 via official email recruitment@houhaienglish.com (Gmail send id 1a09f45baeade05f). GZ among city options; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX link included. Browser form/Teach Away account not used this run (executor lacked browserUse).,houhai-gz-2026-09-14
Guangdong Pei Zheng College,Guangzhou,University ESL / Oral English Teacher (Huadu),Submitted — awaiting recruiter reply,"¥164,584–202,232 / year pre-tax + on-campus housing",Yes,No,No,2026-09-14 04:35 CT,,,http://international.peizheng.edu.cn/docs/2025-09/33f52635b106481da7d752bad977770a.pdf,peizheng.edu.cn; hechuhong@peizheng.edu.cn; Alice Ho; IECO,Submitted 2026-09-14 via hechuhong@peizheng.edu.cn (Gmail send id 1a09f45bc4a4469c). Employer (not agent). Req: BA + (2 yrs teaching OR TEFL/CELTA); CELTA-in-progress + instructor experience disclosed. Housing is on-campus (not cash stipend). Resume DOCX link included.,peizheng-gz-2026-09-14
Shijiazhuang Yingli (eChinacities training center),Guangzhou,Training center ESL Teacher,Skipped — listing expired (verified overnight 2026-09-15),¥20–25k,Yes,No,No,,,,https://jobs.echinacities.com/jobchapter/1355119825,echinacities.com; yingli,Was live 2026-09-14 needing browser Apply; by overnight 2026-09-15 run eChinacities shows ad expired. Same Yingli agent family.,echina-yingli-1355119825
Shanghai Meiji Culture Communications (GZ training center),Guangzhou,English Teacher (Fresh Grads Welcome),Blocked/Skipped — hard TEFL/TESOL wall (apostilled cert + docs ready required before apply),¥15–16k after tax,Yes,No,Yes,,,,https://jobs.echinacities.com/jobchapter/1355120122,echinacities.com; meiji,Agent recruiter. Requires TEFL/TESOL and all docs apostilled and ready. CELTA still in progress → skip per criteria.,echina-meiji-1355120122
Wall Street English China,Guangzhou,English Teacher for Adults (GZ among cities),Submitted — awaiting recruiter reply,~¥13–19k + city allowance (band; confirm with recruiter),Yes,No,Yes,2026-09-15 00:30 CT,,,https://www.wallstreetenglish.com/apply-to-teach/,wallstreetenglish.com; teachinchina@wallstreetenglish.com; Wall Street English,Submitted 2026-09-15 overnight via email teachinchina@wallstreetenglish.com (Gmail send id 1a0a38baaea26a7d). Guangzhou preferred; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Official employer language center.,wse-gz-2026-09-15
Shane English China,Guangzhou,English Teacher (Guangzhou request),Submitted — awaiting recruiter reply,ask,Yes,No,No,2026-09-15 00:30 CT,,,http://teachzing.com/fs/19-shane-english-school,shane.com.cn; recruitment@shane.com.cn; Shane English,Submitted 2026-09-15 overnight via email recruitment@shane.com.cn (Gmail send id 1a0a38bacec4bb17). Guangzhou-only request; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Western-owned language-center brand.,shane-gz-2026-09-15
Meiyin Education Co. Ltd,Guangzhou,Kindergarten English Teacher,Submitted — awaiting recruiter reply,¥20–23k after tax,Yes,No,Yes,2026-09-15 00:33 CT,,,https://jobs.echinacities.com/jobchapter/1355119423,echinacities.com; meiyin; Meiyin Education,Submitted overnight 2026-09-15 via eChinacities Apply. Confirmation: You've successfully applied for this job! TEFL/TESOL listed on posting; CELTA-in-progress disclosed in browser apply. Prefer cash housing stipend.,echina-meiyin-1355119423
i2 Education,Guangzhou,English Teacher (ages 3–12; GZ among cities — requested GZ only),Submitted — awaiting recruiter reply,¥16–22k + housing allowance ~¥2k (band),Yes,No,No,2026-09-15 02:32 CT,,,https://www.i2edu.cn/,i2edu.cn; vivienne.xy@i2edu.cn; i2 Education,Submitted overnight 2026-09-15 via email vivienne.xy@i2edu.cn (Gmail send id 1a0a3fc72393a57a). Guangzhou-only request; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached. Official language-center employer (branches include Guangzhou).,i2edu-gz-2026-09-15
Guangzhou Songtian Polytechnic College,Guangzhou,"Full-time Foreign English Teacher (International Education College, Zengcheng)",Submitted — awaiting recruiter reply,ask (college foreign-teacher package),Yes,No,No,2026-09-15 02:33 CT,,,https://www.gaoxiaojob.com/announcement/detail/429855.html,gzst.edu.cn; stgj_hr@gzst.edu.cn; Songtian,Submitted overnight 2026-09-15 via email stgj_hr@gzst.edu.cn (Gmail send id 1a0a3ff035a3bb2a). Foreign English Teacher posting (Sep 2026); soft TEFL/CELTA or experience path — CELTA-in-progress + instructor experience disclosed. Prefer cash housing stipend if on-campus housing not suitable. Resume DOCX attached. Official employer (vocational college).,songtian-gz-2026-09-15
Giraffe English (Guangzhou),Guangzhou,Foreign English Teacher (kids 3–12; Jiangnanxi / Huangsha centers),Submitted — awaiting recruiter reply,ask,Yes,No,No,2026-09-15 02:33 CT,,,https://www.giraffe.com.cn/,gzgiraffe.com; zhaopin@gzgiraffe.com; Giraffe English,Submitted overnight 2026-09-15 via email zhaopin@gzgiraffe.com (Gmail send id 1a0a3ff03058c6ba). Official Guangzhou Haizhu/Liwan language-center brand; CELTA-in-progress disclosed; prefer cash housing stipend. Resume DOCX attached.,giraffe-gz-2026-09-15
JND / Fangke Careers4U (eChinacities 1355117239),Guangzhou,Training Center English Teacher,Skipped — listing expired + agent recruiter (Fangke),¥20–25k,Yes,No,Yes,,,,https://jobs.echinacities.com/jobchapter/1355117239,echinacities.com; fangke,Expired; agent. TEFL + 2yrs required.,echina-jnd-1355117239-skip
Tianjin Nabang (eChinacities pri/junior GZ),Guangzhou,Primary & Junior High ESL,Skipped — listing expired + agent recruiter,¥20–30k,Yes,No,Yes,,,,https://jobs.echinacities.com/jobchapter/1355117927,echinacities.com; nabang,Expired; intermediary agent.,echina-nabang-1355117927-skip
Guangzhou University,Guangzhou,Campus English Teacher,Blocked/Skipped — hard teaching-certification wall (recognized English teaching cert + 2 yrs required),ask + free campus housing,Yes,No,Yes,,,,https://english.gzhu.edu.cn/index/Join_Us.htm,gzhu.edu.cn; irisbing@gzhu.edu.cn,Requires completed recognized teaching certification before apply; CELTA still in progress.,gzhu-irisbing-skip
